file_name,source_file_sha256,ifc_schema,extraction_mode,space_count,door_count,exit_count,verified_edges_count,inferred_edges_count,disconnected_spaces_count,spaces_without_exit_route_count,scenarios_generated,processing_readiness_score,engineering_evidence_score,pass_partial_fail_status,failure_reason
controlled_semantic_evacuation.ifc,9de152c7e29d154f8eebff8a9d4190ad9161fe622b2b11d8a88e6edbddb00e81,IFC4,semantic_ifc,3,3,1,5,0,0,0,3,100,94,pass,
official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,IFC2X3,semantic_ifc,269,254,18,466,57,21,55,5,85,73,partial,55 space(s) lack an exit route; 21 disconnected space(s).
official_Duplex_A_20110907.ifc,b347a2c8aa8fff6db896a4417a9c50c22ac0ccd7c5cfc22b99b8d29336c606ed,IFC2X3,semantic_ifc,21,14,4,25,12,1,1,5,85,71,partial,1 space(s) lack an exit route; 1 disconnected space(s).
official_Duplex_Rooms_And_Spaces.ifc,3cd577ecff9daf91632789a408070251a431b198de7be47f64e01c7fda1be92b,IFC2X3,semantic_spaces_inferred_topology,37,38,2,0,74,0,0,5,100,16,partial,"IfcSpace data exists, but route topology/exits are inferred; 38 door width(s) assumed."
11134_V_Motebello_Heistopp_Rev.ifc,d0dd573388317907e6aa59f86319b5408306f0dbe9feea99cb7b83ed1d62ba3a,IFC2X3,geometry_derived,16,17,2,0,32,0,0,5,100,0,partial,No semantic IfcSpace/IfcDoor topology; geometry-derived screening only; 17 door width(s) assumed.
